index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,cohort_size
345,122755,2010.0,6.5,1.9,62.9,18.9,34.5,5.9,20.4,15.5,58.9,3.6,17.1,5.8,64.3,5.6,2.8,5.6,3090.0
346,122791,,,,,,,,,,,,,,,,,,682.0
347,122834,,,,,,,,,,,,,,,,,,
348,122843,,,,,,,,,,,,,,,,,,116.0
349,122852,,,,,,,,,,,,,,,,,,
350,122889,,,,,,,,,,,,,,,,,,1592.0
351,122931,,,,,,,,,,,,,,,,,,1201.0
352,122977,,,,,,,,,,,,,,,,,,3081.0
353,123013,,,,,,,,,,,,,,,,,,1500.0
354,123165,,,,,,,,,,,,,,,,,,227.0
355,123208,,,,,,,,,,,,,,,,,,1368.0
356,123217,,,,,,,,,,,,,,,,,,1361.0
357,123299,,,,,,,,,,,,,,,,,,828.0
358,123341,,,,,,,,,,,,,,,,,,1829.0
359,123457,,,,,,,,,,,,,,,,,,163.0
360,123484,,,,,,,,,,,,,,,,,,225.0
361,123509,,,,,,,,,,,,,,,,,,401.0
362,123527,,,,,,,,,,,,,,,,,,803.0
363,123554,,,,,,,,,,,,,,,,,,562.0
364,123563,,,,,,,,,,,,,,,,,,818.0
365,123572,2010.0,31.2,5.2,32.7,22.1,57.0,15.0,3.0,12.2,71.9,0.4,4.3,5.7,74.3,0.6,0.0,0.0,1673.0
366,123642,,,,,,,,,,,,,,,,,,24.0
367,123651,,,,,,,,,,,,,,,,,,367.0
368,123679,,,,,,,,,,,,,,,,,,705.0
369,123800,,,,,,,,,,,,,,,,,,1397.0
370,123952,,,,,,,,,,,,,,,,,,52.0
371,123961,,,,,,,,,,,,,,,,,,2955.0
372,124113,,,,,,,,,,,,,,,,,,403.0
373,124292,,,,,,,,,,,,,,,,,,88.0
374,124487,,,,,,,,,,,,,,,,,,5.0
375,124681,,,,,,,,,,,,,,,,,,16229.0
376,124706,,,,,,,,,,,,,,,,,,871.0
377,124937,,,,,,,,,,,,,,,,,,633.0
378,125028,,,,,,,,,,,,,,,,,,954.0
379,125091,,,,,,,,,,,,,,,,,,978.0
380,125170,,,,,,,,,,,,,,,,,,242.0
381,125231,,,,,,,,,,,,,,,,,,
382,125462,,,,,,,,,,,,,,,,,,265.0
383,125471,,,,,,,,,,,,,,,,,,504.0
384,125499,,,,,,,,,,,,,,,,,,876.0
385,125532,,,,,,,,,,,,,,,,,,426.0
386,125727,,,,,,,,,,,,,,,,,,388.0
387,125763,,,,,,,,,,,,,,,,,,310.0
388,125897,,,,,,,,,,,,,,,,,,159.0
389,126076,,,,,,,,,,,,,,,,,,54.0
390,126119,,,,,,,,,,,,,,,,,,621.0
391,126182,,,,,,,,,,,,,,,,,,425.0
392,126207,,,,,,,,,,,,,,,,,,329.0
393,126289,,,,,,,,,,,,,,,,,,452.0
394,126359,,,,,,,,,,,,,,,,,,176.0
395,126401,,,,,,,,,,,,,,,,,,323.0
396,126562,2011.0,14.1,3.4,37.7,24.2,41.1,13.6,8.8,10.7,51.1,7.1,14.8,9.8,60.6,10.2,4.0,5.9,1010.0
397,126580,2010.0,21.1,5.8,32.7,19.5,45.1,15.5,5.0,8.8,45.0,7.5,14.2,10.0,53.4,11.7,3.7,6.6,933.0
398,126605,,,,,,,,,,,,,,,,,,124.0
399,126614,2011.0,39.7,3.6,36.4,13.4,67.7,10.1,4.2,6.9,58.7,6.6,14.0,6.9,67.2,9.6,2.7,5.2,5540.0
400,126669,,,,,,,,,,,,,,,,,,211.0
401,126678,,,,,,,,,,,,,,,,,,524.0
402,126687,,,,,,,,,,,,,,,,,,652.0
